Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
107,Rayshawn Jenkins,Rayshawn Jenkins,#N/A,JAX,27,SS,14,14,0,0,0,0,0.21,,,,,0,0,5.21,4,1.21,0.07,0.07,
108,Kevin Byard*+,Kevin Byard,#N/A,TEN,28,SS,17,17,0.29,3.88,0.06,24,0.76,0.12,0,1,30,1,0.06,5.18,3.35,1.82,0.06,0.24,
109,Jermaine Carter Jr.,Jermaine Carter Jr.,#N/A,CAR,26,MLB,17,17,0,0,0,0,0.06,0,0,1,0,0,0,5.18,2.24,2.94,0.18,0.18,
110,Amani Hooker,Amani Hooker,#N/A,TEN,23,FS,12,12,0.08,1.75,0,21,0.33,0.08,0,0,0,0,0,5.17,3.17,2,0.08,0,
111,Charvarius Ward,Charvarius Ward,#N/A,KAN,25,LCB,13,12,0.15,0,0,0,0.77,,,,,0,0,5.15,3.69,1.46,0.15,0,
112,Keanu Neal,Keanu Neal,#N/A,DAL,26,MLB,14,5,,,0,,,,,,,0,0.07,5.14,3.14,2,0.29,0.14,
113,Anthony Harris,Anthony Harris,#N/A,PHI,30,FS,14,14,0.07,0.14,0,2,0.21,,,,,0,0,5.14,2.57,2.57,0.14,0.07,
114,Donte Jackson,Donte Jackson,#N/A,CAR,26,LCB,12,12,0.17,1.75,0,21,0.83,0.08,0,0,0,0,0,5.08,4.17,0.92,0.25,0,
115,Justin Reid,Justin Reid,#N/A,HOU,24,SS,13,13,0.15,3.46,0,24,0.31,0.08,0,0,0,0,0,5.08,3.15,1.92,0.15,0,
116,Darious Williams,Darious Williams,#N/A,LAR,28,LCB,14,13,0,0,0,0,0.64,0,0,1,0,0,0,5.07,4.29,0.79,0.21,0,
117,L'Jarius Sneed,L'Jarius Sneed,#N/A,KAN,24,RCB,15,15,0.13,0.13,0,2,0.53,0.07,0,1,0,0,0.07,5.07,3.8,1.27,0.47,0.13,
118,Krys Barnes,Krys Barnes,Krys Barnes,GNB,23,LILB,16,13,0,0,0,0,0.25,0,0,2,1,0,0.06,5.06,3.63,1.44,0.25,0.06,
119,AJ Terrell,AJ Terrell,#N/A,ATL,23,LCB,16,16,0.19,2.63,0,35,1,0.06,0,0,0,0,0.06,5.06,3.25,1.81,0.19,0.06,
120,Tavierre Thomas,Tavierre Thomas,#N/A,HOU,25,DB,17,8,0.12,2.82,0.06,48,0.24,0.06,0,0,0,0,0,5.06,3,2.06,0.06,0.06,
121,Chuck Clark,Chuck Clark,#N/A,BAL,26,SS,16,16,0.13,1.06,0.06,17,0.75,,,,,0,0.06,5,3.06,1.94,0.19,0.06,
122,Devin Bush Jr.,Devin Bush Jr.,Devin Bush,PIT,23,RILB,14,14,0,0,0,0,0.29,0.07,0,1,-1,0,0.14,5,2.93,2.07,0.14,0.29,
123,Jason Verrett,Jason Verrett,#N/A,SFO,30,DB,1,1,,,0,,,,,,,0,0,5,3,2,0,0,
124,Malcolm Jenkins,Malcolm Jenkins,#N/A,NOR,34,SS,16,16,0.06,2.13,0.06,34,0.31,0.06,0,0,0,0,0.06,4.94,3.31,1.63,0.19,0.13,
125,Aaron Donald*+,Aaron Donald,#N/A,LAR,30,LDT,17,17,0,0,0,0,0.24,0.24,0,0,0,0,0.74,4.94,2.24,2.71,1.12,1.47,
126,Elandon Roberts,Elandon Roberts,Elandon Roberts,MIA,27,MLB,17,15,0.06,5,0.06,85,0.24,0.12,0,0,0,0,0.06,4.88,2.47,2.41,0.35,0.12,
127,Tyson Campbell,Tyson Campbell,#N/A,JAX,21,RCB,15,14,0.13,0.2,0,3,0.67,,,,,0,0,4.87,3.27,1.6,0.13,0,
128,Bashaud Breeland,Bashaud Breeland,#N/A,MIN,29,RCB,13,13,0.15,2,0,18,0.38,0.15,0,0,0,0,0,4.85,3.62,1.23,0.08,0,
129,Marlon Humphrey,Marlon Humphrey,#N/A,BAL,25,RCB,12,12,0.08,0,0,0,1.08,0.08,0,0,0,0,0,4.83,3.67,1.17,0,0.08,
130,Ronnie Harrison,Ronnie Harrison,#N/A,CLE,24,SS,12,11,0.08,0,0,0,0.25,,,,,0,0.08,4.83,3.33,1.5,0.33,0.08,
131,Jabrill Peppers,Jabrill Peppers,#N/A,NYG,26,DB,6,5,0,0,0,0,0.17,,,,,0,0.17,4.83,3.17,1.67,0.33,0.67,
